"Label","AGE BY EDUCATIONAL ATTAINMENT","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","457,530","56,454","158,761","207,319","34,996","3,360,058","130,320","302,753","1,039,241","700,473","301,914","547,975","337,382","2,926,985","885,357","637,403","569,279","174,995","605,739","532,109","179,546","1,262,604","1,110,068","332,863","854,312","715,529","197,953","","2,363,674","2,091,107","674,566","2,299,781","2,048,642","661,755","855,485","727,720","164,365","16,782","13,240","3,137","47,226","41,370","26,378","N","N","N","36,540","18,878","3,942","39,473","34,010","12,957","104,045","63,758","17,079","","(X)","(X)","(X)","(X)","","37,217","22,395","30,845","35,107","50,643","60,922"
"        Margin of Error","","±5,551","±4,838","±7,166","±7,341","±3,496","±5,792","±7,180","±10,699","±15,811","±14,036","±9,416","±14,065","±10,377","±13,168","±18,293","±7,106","±7,448","±7,342","±5,786","±7,562","±7,738","±6,025","±8,368","±9,377","±4,129","±5,768","±6,851","","±5,296","±10,919","±13,475","±2,525","±10,381","±13,009","±5,905","±9,067","±9,026","±2,472","±2,012","±895","±2,510","±2,507","±2,490","N","N","N","±4,059","±2,939","±1,375","±3,874","±3,560","±2,229","±3,449","±3,889","±2,388","","(X)","(X)","(X)","(X)","","±368","±1,204","±405","±761","±737","±1,005"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.3%","34.7%","45.3%","7.6%","(X)","3.9%","9.0%","30.9%","20.8%","9.0%","16.3%","10.0%","87.1%","26.3%","(X)","89.3%","27.5%","(X)","87.8%","29.6%","(X)","87.9%","26.4%","(X)","83.8%","23.2%","","(X)","88.5%","28.5%","(X)","89.1%","28.8%","(X)","85.1%","19.2%","(X)","78.9%","18.7%","(X)","87.6%","55.9%","(X)","N","N","(X)","51.7%","10.8%","(X)","86.2%","32.8%","(X)","61.3%","16.4%","","29.2%","15.0%","10.6%","4.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±1.0","±1.5","±1.6","±0.8","(X)","±0.2","±0.3","±0.5","±0.4","±0.3","±0.4","±0.3","±0.4","±0.5","(X)","±0.9","±1.1","(X)","±0.9","±1.3","(X)","±0.5","±0.7","(X)","±0.6","±0.8","","(X)","±0.5","±0.6","(X)","±0.4","±0.6","(X)","±0.8","±1.0","(X)","±6.2","±4.9","(X)","±2.8","±5.0","(X)","N","N","(X)","±6.7","±3.7","(X)","±4.2","±4.8","(X)","±3.5","±2.1","","±1.7","±0.8","±0.6","±0.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","226,648","33,366","85,196","96,007","12,079","1,586,206","71,215","152,700","512,181","319,537","124,955","255,317","150,301","1,362,291","405,618","316,639","275,827","75,308","293,622","253,572","76,931","602,902","519,083","149,883","373,043","313,809","103,496","","1,134,857","992,852","323,142","1,102,770","972,393","316,415","384,945","319,856","61,293","8,511","6,146","931","20,960","18,343","12,124","N","N","N","19,497","9,296","1,977","17,280","15,642","6,151","52,718","30,235","8,835","","(X)","(X)","(X)","(X)","","45,762","27,717","36,803","45,748","65,228","81,364"
"        Margin of Error","","±3,523","±3,985","±5,302","±5,865","±2,043","±3,997","±5,400","±7,802","±10,492","±8,866","±6,090","±8,535","±6,248","±8,980","±9,758","±4,722","±5,758","±4,689","±3,996","±4,890","±4,578","±4,167","±5,289","±5,050","±2,506","±3,969","±4,421","","±3,416","±7,030","±7,404","±1,597","±6,366","±6,975","±3,565","±5,425","±5,015","±1,591","±1,217","±409","±1,835","±1,472","±1,492","N","N","N","±2,727","±1,960","±931","±2,416","±2,303","±1,758","±3,022","±3,257","±1,942","","(X)","(X)","(X)","(X)","","±667","±2,070","±705","±1,109","±2,271","±3,127"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.7%","37.6%","42.4%","5.3%","(X)","4.5%","9.6%","32.3%","20.1%","7.9%","16.1%","9.5%","85.9%","25.6%","(X)","87.1%","23.8%","(X)","86.4%","26.2%","(X)","86.1%","24.9%","(X)","84.1%","27.7%","","(X)","87.5%","28.5%","(X)","88.2%","28.7%","(X)","83.1%","15.9%","(X)","72.2%","10.9%","(X)","87.5%","57.8%","(X)","N","N","(X)","47.7%","10.1%","(X)","90.5%","35.6%","(X)","57.4%","16.8%","","24.9%","11.6%","7.9%","3.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±1.7","±2.4","±2.4","±0.9","(X)","±0.3","±0.5","±0.7","±0.6","±0.4","±0.5","±0.4","±0.5","±0.6","(X)","±1.4","±1.4","(X)","±1.2","±1.6","(X)","±0.7","±0.9","(X)","±1.0","±1.2","","(X)","±0.6","±0.6","(X)","±0.5","±0.6","(X)","±1.2","±1.3","(X)","±9.6","±4.6","(X)","±4.4","±6.9","(X)","N","N","(X)","±9.3","±4.8","(X)","±5.0","±7.9","(X)","±5.5","±3.4","","±2.1","±0.9","±0.8","±0.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","230,882","23,088","73,565","111,312","22,917","1,773,852","59,105","150,053","527,060","380,936","176,959","292,658","187,081","1,564,694","479,739","320,764","293,452","99,687","312,117","278,537","102,615","659,702","590,985","182,980","481,269","401,720","94,457","","1,228,817","1,098,255","351,424","1,197,011","1,076,249","345,340","470,540","407,864","103,072","8,271","7,094","2,206","26,266","23,027","14,254","N","N","N","17,043","9,582","1,965","22,193","18,368","6,806","51,327","33,523","8,244","","(X)","(X)","(X)","(X)","","30,659","17,325","23,164","28,180","40,785","52,783"
"        Margin of Error","","±3,726","±2,708","±5,574","±4,939","±2,762","±4,496","±3,895","±7,312","±10,615","±10,141","±7,463","±9,612","±7,295","±8,922","±12,577","±4,879","±5,053","±5,127","±3,986","±5,096","±5,337","±3,722","±5,521","±6,311","±2,580","±4,584","±4,556","","±3,351","±6,786","±9,471","±1,623","±6,669","±9,279","±4,061","±5,844","±5,997","±1,525","±1,377","±714","±1,780","±1,856","±1,734","N","N","N","±2,367","±1,714","±764","±2,434","±2,306","±1,321","±2,323","±2,350","±1,369","","(X)","(X)","(X)","(X)","","±369","±1,307","±1,070","±1,138","±757","±1,351"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.0%","31.9%","48.2%","9.9%","(X)","3.3%","8.5%","29.7%","21.5%","10.0%","16.5%","10.5%","88.2%","27.0%","(X)","91.5%","31.1%","(X)","89.2%","32.9%","(X)","89.6%","27.7%","(X)","83.5%","19.6%","","(X)","89.4%","28.6%","(X)","89.9%","28.9%","(X)","86.7%","21.9%","(X)","85.8%","26.7%","(X)","87.7%","54.3%","(X)","N","N","(X)","56.2%","11.5%","(X)","82.8%","30.7%","(X)","65.3%","16.1%","","33.6%","18.2%","12.7%","5.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
