STATE,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school graduate or higher,Bachelor's degree or higher
ALABAMA,0.039,0.09,0.309,0.208,0.09,0.163,0.1,0.871,0.263
ALASKA,0.022,0.043,0.287,0.257,0.09,0.185,0.117,0.936,0.302
ARIZONA,0.051,0.073,0.237,0.25,0.087,0.188,0.113,0.876,0.302
ARKANSAS,0.046,0.079,0.349,0.218,0.075,0.151,0.083,0.875,0.233
CALIFORNIA,0.087,0.073,0.206,0.206,0.079,0.219,0.131,0.84,0.35
COLORADO,0.032,0.044,0.21,0.203,0.084,0.266,0.16,0.924,0.427
CONNECTICUT,0.04,0.053,0.268,0.165,0.076,0.22,0.178,0.907,0.398
DELAWARE,0.035,0.062,0.302,0.186,0.083,0.195,0.137,0.903,0.332
DISTRICT OF COLUMBIA,0.033,0.049,0.158,0.13,0.033,0.257,0.34,0.919,0.597
FLORIDA,0.046,0.07,0.284,0.194,0.099,0.193,0.114,0.884,0.307
GEORGIA,0.045,0.076,0.274,0.2,0.08,0.199,0.126,0.879,0.325
HAWAII,0.036,0.04,0.274,0.207,0.106,0.221,0.116,0.924,0.336
IDAHO,0.03,0.055,0.261,0.26,0.106,0.188,0.099,0.915,0.287
ILLINOIS,0.045,0.057,0.259,0.2,0.082,0.217,0.141,0.898,0.358
INDIANA,0.036,0.068,0.339,0.199,0.088,0.173,0.097,0.896,0.269
IOWA,0.027,0.046,0.31,0.204,0.119,0.198,0.095,0.926,0.293
KANSAS,0.033,0.049,0.263,0.224,0.09,0.216,0.124,0.918,0.34
KENTUCKY,0.051,0.077,0.332,0.203,0.085,0.149,0.103,0.872,0.251
LOUISIANA,0.044,0.096,0.339,0.206,0.064,0.16,0.089,0.86,0.25
MAINE,0.021,0.047,0.314,0.186,0.1,0.208,0.124,0.932,0.332
MARYLAND,0.04,0.056,0.246,0.18,0.069,0.218,0.191,0.904,0.409
MASSACHUSETTS,0.042,0.045,0.239,0.15,0.074,0.247,0.203,0.913,0.45
MICHIGAN,0.027,0.06,0.291,0.228,0.094,0.182,0.119,0.914,0.3
MINNESOTA,0.027,0.037,0.244,0.204,0.115,0.245,0.127,0.936,0.373
MISSISSIPPI,0.046,0.101,0.302,0.223,0.105,0.137,0.086,0.853,0.223
MISSOURI,0.029,0.064,0.311,0.214,0.079,0.184,0.118,0.907,0.302
MONTANA,0.016,0.041,0.284,0.229,0.094,0.231,0.105,0.942,0.336
NEBRASKA,0.034,0.045,0.257,0.22,0.111,0.218,0.114,0.92,0.332
NEVADA,0.051,0.08,0.278,0.246,0.088,0.167,0.09,0.869,0.257
NEW HAMPSHIRE,0.02,0.047,0.281,0.178,0.099,0.229,0.147,0.933,0.376
NEW JERSEY,0.047,0.05,0.269,0.157,0.064,0.251,0.161,0.903,0.412
NEW MEXICO,0.058,0.083,0.264,0.227,0.091,0.155,0.122,0.859,0.277
NEW YORK,0.058,0.066,0.258,0.152,0.088,0.212,0.166,0.876,0.378
NORTH CAROLINA,0.042,0.072,0.256,0.206,0.101,0.205,0.118,0.886,0.323
NORTH DAKOTA,0.026,0.039,0.267,0.224,0.14,0.215,0.089,0.935,0.304
OHIO,0.027,0.065,0.326,0.201,0.087,0.182,0.111,0.908,0.293
OKLAHOMA,0.039,0.077,0.315,0.228,0.079,0.171,0.091,0.884,0.262
OREGON,0.033,0.054,0.23,0.248,0.09,0.21,0.135,0.914,0.345
PENNSYLVANIA,0.03,0.06,0.344,0.157,0.086,0.195,0.128,0.91,0.323
RHODE ISLAND,0.05,0.057,0.284,0.174,0.086,0.209,0.139,0.893,0.348
SOUTH CAROLINA,0.037,0.079,0.285,0.204,0.099,0.184,0.112,0.883,0.296
SOUTH DAKOTA,0.028,0.051,0.3,0.205,0.119,0.206,0.091,0.921,0.297
TENNESSEE,0.043,0.077,0.315,0.203,0.074,0.18,0.107,0.88,0.287
TEXAS,0.077,0.077,0.252,0.212,0.075,0.2,0.108,0.846,0.308
UTAH,0.024,0.045,0.231,0.255,0.097,0.234,0.113,0.93,0.348
VERMONT,0.021,0.048,0.29,0.167,0.087,0.227,0.16,0.931,0.387
VIRGINIA,0.038,0.062,0.236,0.189,0.08,0.224,0.172,0.9,0.396
WASHINGTON,0.035,0.048,0.221,0.227,0.1,0.228,0.142,0.917,0.37
WEST VIRGINIA,0.042,0.087,0.402,0.179,0.079,0.126,0.084,0.871,0.211
WISCONSIN,0.025,0.048,0.305,0.2,0.109,0.207,0.107,0.928,0.313
WYOMING,0.017,0.038,0.301,0.24,0.113,0.188,0.104,0.945,0.291
PUERTO RICO,0.139,0.073,0.282,0.122,0.112,0.193,0.08,0.788,0.272
