STATE,Median Annual Household Income
ALABAMA,"$51,734"
ALASKA,"$75,463"
ARIZONA,"$62,055"
ARKANSAS,"$48,952"
CALIFORNIA,"$80,440"
COLORADO,"$77,127"
CONNECTICUT,"$78,833"
DELAWARE,"$70,176"
DISTRICT OF COLUMBIA,"$92,266"
FLORIDA,"$59,227"
GEORGIA,"$61,980"
HAWAII,"$83,102"
IDAHO,"$60,999"
ILLINOIS,"$69,187"
INDIANA,"$57,603"
IOWA,"$61,691"
KANSAS,"$62,087"
KENTUCKY,"$52,295"
LOUISIANA,"$51,073"
MAINE,"$58,924"
MARYLAND,"$86,738"
MASSACHUSETTS,"$85,843"
MICHIGAN,"$59,584"
MINNESOTA,"$74,593"
MISSISSIPPI,"$45,792"
MISSOURI,"$57,409"
MONTANA,"$57,153"
NEBRASKA,"$63,229"
NEVADA,"$63,276"
NEW HAMPSHIRE,"$77,933"
NEW JERSEY,"$85,751"
NEW MEXICO,"$51,945"
NEW YORK,"$72,108"
NORTH CAROLINA,"$57,341"
NORTH DAKOTA,"$64,577"
OHIO,"$58,642"
OKLAHOMA,"$54,449"
OREGON,"$67,058"
PENNSYLVANIA,"$63,463"
RHODE ISLAND,"$71,169"
SOUTH CAROLINA,"$56,227"
SOUTH DAKOTA,"$59,533"
TENNESSEE,"$56,071"
TEXAS,"$64,034"
UTAH,"$75,780"
VERMONT,"$63,001"
VIRGINIA,"$76,456"
WASHINGTON,"$78,687"
WEST VIRGINIA,"$48,850"
WISCONSIN,"$64,168"
WYOMING,"$65,003"
PUERTO RICO,"$20,474"
